站號,站名,經度,緯度,城市,地址
C0K390,土庫,120.395574,23.679029,雲林縣,土庫鎮建國路41號(土庫消防分隊)
C0K400,斗六,120.541127,23.720583,雲林縣,斗六市鎮北路345-1號(斗六消防分隊)
C0K410,北港,120.292802,23.573957,雲林縣,北港鎮大同路565號(北港消防分隊)
C0K420,西螺,120.467394,23.800407,雲林縣,西螺鎮公正路211號(西螺消防分隊)
C0K430,褒忠,120.303634,23.690938,雲林縣,褒忠鄉中正路451號(褒忠鄉公所)
C0K440,二崙,120.408944,23.772797,雲林縣,二崙鄉中正路80號(二崙消防分隊)
C0K450,大埤,120.431537,23.646074,雲林縣,大埤鄉中山路8號(大埤鄉公所)
C0K460,斗南,120.478359,23.678734,雲林縣,斗南鎮延平路二段266號(斗南鎮停一立體停車場)
C0K470,林內,120.609642,23.748675,雲林縣,林內鄉中正路685號(林內消防分隊)
C0K480,莿桐,120.502372,23.761192,雲林縣,莿桐鄉和平路53號(莿桐鄉公所)
C0K500,元長,120.315024,23.64981,雲林縣,元長鄉長南村仁愛街2號(元長鄉公所)
C0K510,水林,120.24597,23.572924,雲林縣,水林鄉水北村水林路12號(水林鄉公所)
C0K520,雲林東勢,120.154778,23.674449,雲林縣,東勢鄉東南村所前街3號(東勢鄉公所)
C0K530,臺西,120.197559,23.701547,雲林縣,台西鄉中山路110巷38號(臺西消防分隊)
C0K550,蔦松,120.229736,23.514319,雲林縣,水林鄉松中村蔦松路213號(蔦松國小)
C0K560,棋山,120.603417,23.68645,雲林縣,古坑鄉棋盤村棋山49號(棋山國小)
C0K580,高鐵雲林,120.417944,23.737456,雲林縣,虎尾鎮站前東路301號(高鐵雲林站外)
C0M410,馬頭山,120.582017,23.324361,嘉義縣,大埔鄉永樂村1鄰內灣仔2號
C0M520,東後寮,120.248065,23.369908,嘉義縣,義竹鄉東光村7號(台糖東後寮農場)
C0M530,奮起湖,120.699253,23.493903,嘉義縣,竹崎鄉阿里山事業區148林班地(中興苗圃內)
C0M640,中埔,120.5229,23.42538,嘉義縣,中埔鄉中埔村128號(中埔鄉公所)
C0M650,朴子,120.23902,23.43463,嘉義縣,朴子市竹村里36號(竹村國小)
C0M660,溪口,120.403569,23.604131,嘉義縣,溪口鄉中正東路103號(溪口國中學生活動中心)
C0M670,大林,120.45841,23.600616,嘉義縣,大林鎮新興街110號(大林地政事務所)
C0M680,太保,120.331455,23.455062,嘉義縣,太保市太保里31號(太保市圖書館)
C0M690,水上,120.388909,23.419734,嘉義縣,水上鄉三鎮村三鎮路119號(水上消防分隊)
C0M700,竹崎,120.555508,23.526178,嘉義縣,竹崎鄉竹崎村舊車站79號(竹崎消防分隊)
C0M710,東石,120.15385,23.458927,嘉義縣,東石鄉東石村3號(東石鄉公所)
C0M720,番路,120.554156,23.464657,嘉義縣,番路鄉下坑村蔡公店101號(番路鄉公所)
C0M730,嘉義市東區,120.460531,23.457673,嘉義市,親水路123 號(第五河川局水情中心)
C0M740,六腳,120.290625,23.492871,嘉義縣,六腳鄉蒜頭村73-2號(六腳消防分隊)
C0M750,布袋,120.167789,23.380878,嘉義縣,布袋鎮龍江里2-2號(布袋消防分隊)
C0M760,民雄,120.428457,23.551754,嘉義縣,民雄鄉文化路7號(民雄鄉公所)
C0M770,嘉義梅山,120.555587,23.585398,嘉義縣,梅山鄉中山路282號(梅山鄉公所)
C0M780,鹿草,120.30835,23.41134,嘉義縣,鹿草鄉西井村287號(鹿草鄉公所)
C0M790,新港,120.345728,23.553269,嘉義縣,新港鄉公園路28號(新港消防分隊)
C0M800,茶山,120.664767,23.299075,嘉義縣,阿里山鄉茶山路62號之1(茶山村衛生室)
C0M810,里佳,120.716647,23.389125,嘉義縣,阿里山鄉里佳村
C0M820,達邦,120.749517,23.453994,嘉義縣,阿里山鄉達邦村21號(鄒族自然與文化中心)
C0M850,表湖,120.64166,23.24186,嘉義縣,大埔鄉溪頭段1地號
C0M860,新美,120.683169,23.338017,嘉義縣,嘉義縣阿里山鄉新美村78號
C0O810,曾文,120.497328,23.219681,臺南市,楠西區曾文新村(曾文水庫管理局內)
C0O830,北寮,120.495008,23.079561,臺南市,南化區北寮里48-4號
C0O840,王爺宮,120.40085,23.222064,臺南市,六甲區王爺里24號（六甲國小湖東分校）
C0O860,大內,120.36083,23.11885,臺南市,大內區74201大內里63號(大內國民小學)
C0O900,善化,120.297219,23.112883,臺南市,善化區益民寮60號(亞洲蔬菜研究發展中心內)
C0O930,玉井,120.46055,23.126042,臺南市,玉井區台灣糖業公司玉井糖廠
C0O950,安南,120.144861,23.076694,臺南市,安南區公學路6段589號(學東國民小學內)
C0O960,崎頂,120.369317,22.959547,臺南市,龍崎區中坑里5鄰13號
C0O970,虎頭埤,120.347878,23.021375,臺南市,新化區口埤18號(新化分場)
C0O980,新市,120.298197,23.061614,臺南市,新市區永就里53號(番子寮農場)
C0O990,媽廟,120.293525,22.99175,臺南市,歸仁區中正北路3段60號(保西國民小學內)
C0R100,尾寮山,120.683889,22.833111,屏東縣,三地門鄉口社檢查站車程約2小時(尾寮山瞭望台旁)
C0R130,阿禮,120.743678,22.742908,屏東縣,霧台鄉(屏東事業區第46林班)由山地文化村開車約2小時需徒步轉波站前面
